"aicc","model"
2255.89560495527,"(4,1,0)(2,3,1)[12]"
2255.89667899444,"(0,1,0)(1,3,4)[12]"
2256.39967465563,"(0,2,3)(4,3,0)[12]"
2256.4360480797,"(1,1,0)(2,3,1)[12]"
2256.6631803413,"(1,2,2)(1,3,1)[12]"
2256.81153860308,"(1,2,3)(1,3,1)[12]"
2256.90037265209,"(0,0,1)(0,3,2)[12]"
2256.99053737552,"(2,2,2)(1,3,1)[12]"
2257.08264279654,"(0,0,1)(4,3,1)[12]"
2257.20678034957,"(0,1,0)(4,3,3)[12]"
2257.31134490205,"(0,0,1)(3,3,1)[12]"
2257.3255939538,"(0,1,0)(2,3,3)[12]"
2257.55071677545,"(0,1,0)(5,3,2)[12]"
2257.65525497593,"(0,1,0)(1,3,5)[12]"
2257.96329125047,"(0,1,0)(3,3,3)[12]"
2258.14673219247,"(0,1,0)(2,3,4)[12]"
2258.6648374075,"(0,2,1)(2,3,1)[12]"
2258.70144346006,"(0,2,1)(5,3,0)[12]"
2259.10622022168,"(3,2,2)(1,3,1)[12]"
2260.03945027166,"(1,0,0)(1,3,1)[12]"
2260.03967370362,"(0,0,1)(2,3,1)[12]"
2260.28258701296,"(0,0,1)(5,3,0)[12]"
2260.4841763017,"(0,1,0)(4,3,1)[12]"
2260.67555971171,"(0,1,0)(2,3,5)[12]"
2260.84618430823,"(1,0,1)(1,3,1)[12]"
2260.87939974146,"(2,0,0)(1,3,1)[12]"
2261.07483996329,"(2,2,3)(1,3,1)[12]"
2261.15504983014,"(1,0,1)(4,3,0)[12]"
2261.50447335307,"(0,1,0)(0,3,2)[12]"
2261.79153690062,"(2,2,1)(1,3,1)[12]"
2261.83651324092,"(0,1,0)(3,3,4)[12]"
2261.94175957063,"(1,2,1)(1,3,1)[12]"
2262.05257040838,"(1,2,2)(3,3,0)[12]"
2262.15390443115,"(1,2,1)(4,3,0)[12]"
2262.38965310142,"(1,0,0)(4,3,0)[12]"
2262.39162084883,"(1,2,4)(1,3,1)[12]"
2262.63049164283,"(3,2,1)(1,3,1)[12]"
2262.68139014829,"(0,2,3)(3,3,0)[12]"
2262.91436646327,"(0,2,2)(3,3,0)[12]"
2263.04523942349,"(1,0,2)(1,3,1)[12]"
2263.04604905955,"(2,0,1)(1,3,1)[12]"
2263.04942101103,"(3,0,0)(1,3,1)[12]"
2263.42680200611,"(1,0,2)(4,3,0)[12]"
2263.47961026879,"(4,2,0)(0,3,3)[12]"
2263.857674645,"(4,2,1)(1,3,1)[12]"
2264.23135194573,"(0,2,4)(3,3,0)[12]"
2264.59118539199,"(0,1,0)(3,3,1)[12]"
2264.67201886687,"(4,2,0)(1,3,2)[12]"
2264.9737376053,"(1,1,1)(1,3,1)[12]"
2265.17776940163,"(1,1,1)(4,3,0)[12]"
2265.27033573602,"(3,0,1)(1,3,1)[12]"
2265.27327191109,"(1,0,3)(1,3,1)[12]"
2265.27800282164,"(2,0,2)(1,3,1)[12]"
2265.27958537873,"(4,0,0)(1,3,1)[12]"
2265.37292492952,"(1,2,3)(3,3,0)[12]"
2265.57653720274,"(1,1,2)(1,3,1)[12]"
2265.65278642355,"(2,1,1)(1,3,1)[12]"
2265.76201564235,"(0,1,1)(4,3,0)[12]"
2265.77043154779,"(1,1,2)(4,3,0)[12]"
2266.03534260851,"(0,1,2)(4,3,0)[12]"
2266.099260722,"(0,0,4)(1,3,1)[12]"
2266.7159468374,"(0,0,3)(4,3,0)[12]"
2267.0280595928,"(0,1,3)(4,3,0)[12]"
2267.26633614658,"(0,0,3)(1,3,1)[12]"
2267.3669668105,"(3,0,2)(1,3,1)[12]"
2267.52952932611,"(1,0,4)(1,3,1)[12]"
2267.53826423362,"(2,0,3)(1,3,1)[12]"
2267.54973414162,"(4,0,1)(1,3,1)[12]"
2267.55163430697,"(5,0,0)(1,3,1)[12]"
2267.7645025328,"(5,2,0)(0,3,2)[12]"
2267.80162907648,"(2,1,2)(1,3,1)[12]"
2267.8051046074,"(1,1,3)(1,3,1)[12]"
2267.8273946833,"(3,1,1)(1,3,1)[12]"
2268.15525088043,"(3,2,0)(0,3,3)[12]"
2268.1770336948,"(3,2,0)(1,3,2)[12]"
2268.33486613811,"(0,0,5)(1,3,1)[12]"
2268.75734148956,"(3,2,1)(3,3,0)[12]"
2268.76331409934,"(0,1,2)(1,3,1)[12]"
2268.87858300127,"(2,2,1)(3,3,0)[12]"
2268.89570240097,"(1,0,1)(3,3,0)[12]"
2268.98793419306,"(0,1,1)(1,3,1)[12]"
2269.11374726545,"(0,2,1)(1,3,1)[12]"
2269.40819004754,"(0,1,0)(2,3,1)[12]"
2269.53897632715,"(0,1,0)(5,3,0)[12]"
2269.59439910505,"(1,0,0)(3,3,0)[12]"
2269.62510444997,"(0,1,3)(1,3,1)[12]"
2269.81731468231,"(3,2,0)(0,3,4)[12]"
2269.84696451672,"(3,2,0)(1,3,3)[12]"
2269.9892367469,"(2,1,3)(1,3,1)[12]"
2270.04833524212,"(1,1,4)(1,3,1)[12]"
2270.07793073905,"(4,1,1)(1,3,1)[12]"
2270.10074879504,"(3,1,2)(1,3,1)[12]"
2270.10097866941,"(3,2,0)(2,3,2)[12]"
2270.48311580203,"(0,0,2)(1,3,1)[12]"
2270.7336602565,"(1,0,2)(3,3,0)[12]"
2270.95420036093,"(0,0,2)(4,3,0)[12]"
2270.98643108271,"(0,1,4)(1,3,1)[12]"
2271.30865593211,"(3,0,0)(3,3,0)[12]"
2271.37284801276,"(0,1,5)(1,3,1)[12]"
2271.48419052364,"(2,1,0)(4,3,0)[12]"
2271.49521796677,"(2,0,1)(3,3,0)[12]"
2272.02177994475,"(1,1,1)(3,3,0)[12]"
2272.29052678671,"(2,1,0)(1,3,1)[12]"
2272.74151619656,"(1,1,0)(1,3,1)[12]"
2272.79194734637,"(1,0,3)(3,3,0)[12]"
2272.80655634103,"(0,1,2)(3,3,0)[12]"
2272.9092620071,"(3,1,0)(1,3,1)[12]"
2272.99199389557,"(1,1,0)(4,3,0)[12]"
2273.13457515285,"(5,1,0)(1,3,1)[12]"
